wordtag,rating
service,5
service,4
service,5
service,5
service,4
service,1
service,4
service,2
service,4
service,2
service,5
service,5
service,5
service,4
service,4
service,1
service,5
service,4
service,5
service,5
service,2
service,1
service,5
service,4
service,2
service,4
service,4
service,1
service,3
service,4
service,5
service,5
service,1
service,4
service,5
service,5
service,4
service,5
service,3
service,5
service,5
service,4
service,3
service,1
service,4
service,5
service,3
service,4
service,4
service,1
service,5
service,5
service,4
service,5
service,1
service,2
service,1
service,5
service,4
service,1
service,4
service,4
service,5
service,4
service,4
service,4
service,3
service,1
service,3
service,4
service,4
service,3
service,1
service,4
service,1
service,5
service,1
service,3
service,4
service,5
service,5
service,5
service,5
service,4
service,2
service,4
service,2
service,5
service,1
service,5
service,5
service,2
service,2
service,1
service,5
service,4
service,5
service,4
service,5
service,1
service,5
service,2
service,5
service,4
service,1
service,5
service,5
service,3
service,4
service,1
service,5
service,5
service,1
service,5
service,4
service,4
service,2
service,5
service,4
service,4
service,5
service,4
service,3
service,4
service,1
service,1
service,4
service,5
service,4
service,5
service,3
service,3
service,5
service,5
service,5
service,1
service,5
service,1
service,5
service,4
service,2
service,3
service,4
service,3
service,3
service,4
service,3
service,5
service,1
service,5
service,1
service,3
service,5
service,4
service,4
service,4
service,4
service,4
service,5
service,4
service,5
service,3
service,5
service,4
service,4
service,5
service,4
service,4
service,4
service,4
service,2
service,5
service,5
service,3
service,3
service,4
service,4
service,4
service,2
service,1
service,2
service,4
service,3
service,1
service,1
service,4
service,1
service,5
service,3
service,5
service,5
service,5
service,4
service,4
service,5
service,4
service,4
service,5
service,4
service,5
service,4
service,4
service,4
service,5
service,3
service,3
service,5
service,3
service,5
service,4
service,5
service,5
service,4
service,5
service,5
service,5
service,5
service,4
service,4
service,5
service,5
service,5
service,5
service,5
service,5
service,1
service,5
service,5
service,4
service,5
service,5
service,4
service,4
service,5
service,2
service,5
service,4
service,2
service,5
service,1
service,5
service,3
service,5
service,5
service,5
service,3
service,4
service,4
service,1
service,1
service,4
service,5
service,5
service,4
service,5
service,4
service,4
service,4
service,5
service,1
service,4
service,5
service,2
service,4
service,3
service,4
service,3
service,5
service,1
service,5
service,5
service,5
service,4
service,4
service,5
service,1
service,5
service,4
service,1
service,4
service,4
service,5
service,2
service,5
service,4
service,5
service,5
service,1
service,3
service,1
service,4
service,3
service,1
service,1
service,4
service,5
service,2
service,1
service,4
service,5
service,4
service,5
service,4
service,3
service,4
service,1
service,4
service,5
service,1
service,5
service,4
service,5
service,4
service,4
service,5
service,5
service,4
service,1
service,5
service,1
service,5
service,5
service,2
service,4
service,5
service,3
service,5
service,4
service,2
service,4
service,5
service,4
service,5
service,5
service,5
service,1
service,5
service,5
service,5
service,5
service,4
service,5
service,5
service,3
service,4
service,4
service,4
service,2
service,5
service,3
service,2
service,4
service,2
service,5
service,3
service,5
service,4
service,4
service,4
service,5
service,4
service,3
service,5
service,1
service,1
service,4
service,5
service,2
service,5
service,5
service,4
service,4
service,1
service,5
service,4
service,5
service,5
service,5
service,5
service,4
service,5
service,4
service,4
service,1
service,3
service,4
service,5
service,4
service,5
service,1
service,3
service,1
service,1
service,3
service,5
service,1
service,4
service,4
service,2
service,2
service,4
service,2
service,5
service,1
service,4
service,4
service,5
service,5
service,5
service,4
service,4
service,5
service,5
service,4
service,3
service,4
service,4
service,1
service,5
service,5
service,3
service,5
service,3
service,2
service,4
service,5
service,4
service,3
service,4
service,2
service,3
service,1
service,3
service,1
service,1
service,3
service,1
service,2
service,4
service,4
service,4
service,2
service,4
service,1
service,2
service,4
service,3
service,5
service,2
service,3
service,5
service,5
service,2
service,5
service,3
service,3
service,3
service,2
service,4
service,5
service,2
service,5
service,5
service,4
service,5
service,4
service,4
service,5
service,3
service,3
service,4
service,4
service,3
service,5
service,4
service,5
service,5
service,4
service,4
service,4
service,3
service,5
service,4
service,4
service,3
service,1
service,2
service,4
service,2
service,2
service,5
service,1
service,2
service,4
service,3
service,4
service,5
service,2
service,5
service,5
service,5
service,4
service,5
service,4
service,5
service,1
service,5
service,1
service,5
service,1
service,3
service,1
service,4
service,3
service,4
service,4
service,4
service,5
service,4
service,5
service,5
service,4
service,5
service,2
service,5
service,4
service,5
service,5
service,1
service,4
service,1
service,4
service,4
service,4
service,3
service,1
service,5
service,2
service,5
service,5
service,4
service,4
service,5
service,5
service,4
service,4
service,4
service,3
service,4
service,3
service,4
service,4
service,1
service,4
service,4
service,4
service,2
service,2
service,1
service,3
service,5
service,4
service,4
service,3
service,3
service,3
service,3
service,4
service,3
service,3
service,5
service,5
service,5
service,4
service,5
service,4
service,4
service,4
service,1
service,4
service,2
service,5
service,4
service,5
service,4
service,5
service,3
service,1
service,5
service,5
service,1
service,4
service,5
service,5
service,5
service,4
service,2
service,4
service,5
service,5
service,5
service,4
service,5
service,5
service,4
service,4
service,4
service,4
service,4
service,4
service,5
service,1
service,5
service,3
service,4
service,4
service,5
service,4
service,5
service,5
service,5
service,4
service,5
service,2
service,4
service,5
service,5
service,4
service,4
service,4
service,4
service,2
service,5
service,4
service,4
service,3
service,4
service,5
service,1
service,4
service,5
service,5
service,4
service,4
service,4
service,5
service,1
service,4
service,4
service,4
service,4
service,3
service,3
service,1
service,4
service,4
service,4
service,5
service,4
service,1
service,3
service,5
service,4
service,4
service,2
service,5
service,3
service,2
service,1
service,5
service,5
service,4
service,5
service,4
service,5
service,4
service,1
service,4
service,5
service,5
service,3
service,4
service,1
service,5
service,4
service,5
service,5
service,1
service,5
service,4
service,1
service,1
service,4
service,3
service,5
service,5
service,4
service,2
service,3
service,4
service,5
service,2
service,4
service,3
service,4
service,1
service,5
service,4
service,4
service,4
service,3
service,4
service,1
service,3
service,4
service,4
service,5
service,4
service,1
service,3
service,5
service,2
service,3
service,4
service,5
service,5
service,2
service,5
service,3
service,3
service,1
service,5
service,5
service,5
service,1
service,4
service,2
service,5
service,1
service,4
service,5
service,4
service,4
service,5
service,5
service,5
service,4
service,3
service,4
service,5
service,4
service,3
service,5
service,5
service,4
service,5
service,4
service,5
service,2
service,4
service,3
service,3
service,1
service,4
service,5
service,5
service,5
service,2
service,5
service,4
service,3
service,3
service,1
service,5
service,5
service,1
service,5
service,1
service,2
service,5
service,5
service,4
service,1
service,3
service,4
service,4
service,2
service,3
service,1
service,2
service,2
service,2
service,1
service,1
service,3
service,1
service,5
service,5
service,4
service,4
service,1
service,5
service,3
service,5
service,1
service,5
service,3
service,3
service,4
service,4
service,4
service,5
service,4
service,4
service,1
service,4
service,3
service,2
service,4
service,2
service,2
service,5
service,1
service,4
service,4
service,4
service,1
service,5
service,4
service,1
service,3
service,3
service,4
service,4
service,4
service,5
service,3
service,5
service,4
service,5
service,5
service,1
service,5
service,3
service,5
service,4
service,1
service,5
service,4
service,2
service,4
service,5
service,5
service,4
service,5
service,5
service,4
service,5
service,1
service,5
service,5
service,1
service,5
service,5
service,4
service,3
service,1
service,3
service,4
service,5
service,3
service,4
service,5
service,5
service,5
service,1
service,3
service,4
service,5
service,5
service,4
service,3
service,5
service,5
service,5
service,4
service,1
service,1
service,5
service,4
service,3
service,5
service,5
service,5
service,3
service,5
service,4
service,5
service,2
service,2
service,4
service,4
service,4
service,4
service,3
service,1
service,1
service,4
service,4
service,5
service,5
service,5
service,5
service,2
service,5
service,3
service,4
service,5
service,4
service,3
service,2
service,3
service,4
service,5
service,1
service,3
service,4
service,5
food,5
food,1
food,4
food,4
food,5
food,5
food,4
food,5
food,1
food,4
food,2
food,4
food,2
food,4
food,5
food,5
food,5
food,4
food,5
food,4
food,4
food,1
food,4
food,5
food,4
food,5
food,5
food,5
food,4
food,2
food,5
food,5
food,5
food,5
food,4
food,2
food,4
food,4
food,4
food,1
food,4
food,4
food,3
food,4
food,5
food,3
food,5
food,5
food,5
food,5
food,1
food,3
food,4
food,3
food,5
food,5
food,5
food,4
food,3
food,4
food,4
food,3
food,3
food,5
food,5
food,3
food,1
food,5
food,4
food,4
food,4
food,3
food,4
food,4
food,3
food,5
food,3
food,5
food,3
food,4
food,3
food,5
food,5
food,4
food,4
food,5
food,1
food,2
food,3
food,4
food,1
food,4
food,4
food,5
food,4
food,4
food,1
food,3
food,3
food,4
food,4
food,3
food,4
food,4
food,3
food,4
food,1
food,5
food,2
food,2
food,4
food,1
food,5
food,1
food,3
food,2
food,5
food,4
food,5
food,2
food,1
food,2
food,1
food,1
food,3
food,5
food,4
food,2
food,1
food,5
food,4
food,5
food,4
food,5
food,5
food,2
food,5
food,4
food,1
food,5
food,5
food,5
food,3
food,4
food,1
food,4
food,4
food,5
food,5
food,2
food,5
food,4
food,4
food,3
food,3
food,5
food,4
food,5
food,3
food,5
food,4
food,4
food,5
food,4
food,3
food,4
food,5
food,1
food,1
food,4
food,4
food,5
food,4
food,3
food,3
food,4
food,5
food,4
food,4
food,5
food,2
food,5
food,5
food,5
food,4
food,5
food,5
food,4
food,5
food,4
food,2
food,3
food,3
food,3
food,3
food,3
food,4
food,5
food,3
food,5
food,5
food,2
food,1
food,5
food,5
food,4
food,1
food,5
food,3
food,3
food,4
food,5
food,4
food,4
food,3
food,4
food,4
food,2
food,4
food,4
food,4
food,4
food,4
food,5
food,3
food,5
food,3
food,4
food,4
food,4
food,4
food,5
food,5
food,5
food,2
food,4
food,4
food,2
food,2
food,5
food,4
food,5
food,2
food,4
food,4
food,2
food,5
food,3
food,3
food,4
food,4
food,4
food,4
food,5
food,5
food,4
food,2
food,4
food,4
food,3
food,4
food,3
food,1
food,4
food,4
food,5
food,5
food,4
food,4
food,2
food,1
food,5
food,5
food,3
food,5
food,5
food,5
food,5
food,5
food,5
food,4
food,4
food,4
food,3
food,4
food,5
food,4
food,5
food,4
food,4
food,4
food,4
food,4
food,1
food,1
food,3
food,4
food,3
food,5
food,3
food,1
food,4
food,5
food,5
food,4
food,5
food,3
food,5
food,5
food,4
food,4
food,4
food,5
food,4
food,2
food,4
food,1
food,5
food,5
food,5
food,4
food,5
food,4
food,5
food,4
food,4
food,5
food,5
food,2
food,5
food,5
food,1
food,5
food,4
food,5
food,4
food,5
food,5
food,3
food,4
food,4
food,4
food,3
food,5
food,4
food,4
food,4
food,1
food,4
food,1
food,4
food,4
food,5
food,5
food,5
food,4
food,5
food,5
food,2
food,2
food,4
food,4
food,4
food,2
food,4
food,4
food,5
food,4
food,4
food,4
food,4
food,4
food,2
food,4
food,4
food,4
food,5
food,5
food,1
food,5
food,4
food,4
food,5
food,3
food,5
food,4
food,4
food,4
food,5
food,5
food,4
food,4
food,1
food,5
food,5
food,2
food,5
food,5
food,4
food,4
food,5
food,4
food,4
food,5
food,1
food,4
food,2
food,3
food,3
food,4
food,1
food,4
food,3
food,3
food,4
food,3
food,1
food,4
food,2
food,4
food,5
food,5
food,5
food,2
food,1
food,4
food,4
food,5
food,5
food,5
food,4
food,3
food,4
food,4
food,5
food,5
food,5
food,5
food,4
food,3
food,5
food,4
food,4
food,5
food,3
food,4
food,1
food,4
food,1
food,5
food,2
food,5
food,5
food,3
food,5
food,5
food,2
food,4
food,4
food,5
food,5
food,4
food,5
food,5
food,5
food,5
food,5
food,4
food,1
food,5
food,4
food,1
food,5
food,5
food,4
food,4
food,5
food,4
food,4
food,3
food,4
food,4
food,2
food,5
food,3
food,2
food,4
food,5
food,5
food,3
food,5
food,4
food,4
food,4
food,5
food,4
food,4
food,4
food,5
food,3
food,5
food,5
food,4
food,5
food,4
food,1
food,5
food,5
food,4
food,5
food,5
food,3
food,3
food,4
food,4
food,4
food,5
food,5
food,5
food,5
food,5
food,3
food,4
food,5
food,3
food,3
food,4
food,3
food,5
food,4
food,1
food,5
food,3
food,3
food,4
food,5
food,4
food,5
food,4
food,4
food,1
food,4
food,4
food,1
food,1
food,4
food,3
food,5
food,1
food,4
food,4
food,4
food,4
food,5
food,2
food,4
food,4
food,2
food,4
food,4
food,2
food,5
food,1
food,4
food,4
food,3
food,4
food,5
food,4
food,5
food,5
food,5
food,5
food,5
food,4
food,4
food,4
food,5
food,5
food,5
food,5
food,5
food,5
food,3
food,5
food,4
food,4
food,4
food,1
food,5
food,5
food,3
food,5
food,5
food,3
food,1
food,4
food,5
food,5
food,1
food,2
food,4
food,5
food,4
food,4
food,3
food,4
food,1
food,4
food,1
food,1
food,2
food,5
food,5
food,3
food,2
food,3
food,4
food,5
food,5
food,4
food,4
food,5
food,4
food,2
food,4
food,2
food,4
food,1
food,2
food,3
food,3
food,5
food,2
food,3
food,5
food,2
food,4
food,3
food,5
food,5
food,3
food,3
food,2
food,5
food,2
food,4
food,5
food,5
food,3
food,5
food,1
food,5
food,5
food,3
food,4
food,4
food,5
food,4
food,4
food,4
food,1
food,5
food,2
food,5
food,5
food,4
food,3
food,5
food,5
food,4
food,5
food,4
food,4
food,3
food,2
food,5
food,4
food,4
food,5
food,4
food,5
food,3
food,4
food,4
food,5
food,3
food,5
food,4
food,4
food,4
food,5
food,4
food,4
food,4
food,3
food,3
food,3
food,1
food,2
food,3
food,1
food,5
food,5
food,4
food,4
food,2
food,4
food,2
food,4
food,2
food,5
food,4
food,3
food,5
food,2
food,5
food,3
food,4
food,4
food,4
food,4
food,4
food,4
food,3
food,4
food,4
food,3
food,4
food,4
food,5
food,5
food,5
food,5
food,3
food,4
food,4
food,5
food,4
food,3
food,5
food,5
food,5
food,5
food,5
food,4
food,1
food,3
food,4
food,1
food,4
food,3
food,4
food,4
food,5
food,5
food,4
food,3
food,2
food,4
food,5
food,4
food,5
food,5
food,4
food,5
food,4
food,5
food,4
food,5
food,5
food,5
food,1
food,1
food,4
food,3
food,4
food,4
food,3
food,1
food,3
food,4
food,4
food,5
food,5
food,2
food,5
food,4
food,4
food,3
food,3
food,1
food,5
food,5
food,2
food,3
food,5
food,3
food,3
food,4
food,5
food,4
food,5
food,5
food,4
food,4
food,4
food,5
food,5
food,5
food,4
food,4
food,5
food,3
food,4
food,5
food,4
food,3
food,4
food,4
food,5
food,4
food,5
food,4
food,5
food,1
food,1
food,3
food,2
food,5
food,4
food,5
food,3
food,3
food,3
food,4
food,4
food,5
food,3
food,3
food,4
food,4
food,5
food,3
food,5
food,5
food,3
food,5
food,4
food,4
food,4
food,5
food,5
food,4
food,4
food,4
food,2
food,4
food,5
food,4
food,5
food,3
food,4
food,5
food,3
food,1
food,5
food,5
food,4
food,4
food,4
food,5
food,5
food,4
food,5
food,5
food,5
food,3
food,4
food,1
food,4
food,5
food,5
food,2
food,4
food,5
food,4
food,4
food,5
food,5
food,5
food,5
food,5
food,4
food,4
food,4
food,4
food,4
food,5
food,4
food,4
food,5
food,5
food,5
food,5
food,5
food,4
food,5
food,4
food,5
food,3
food,4
food,4
food,5
food,4
food,5
food,1
food,3
food,4
food,4
food,4
food,5
food,4
food,3
food,5
food,5
food,5
food,5
food,5
food,5
food,5
food,3
food,2
food,5
food,4
food,4
food,4
food,5
food,4
food,2
food,4
food,2
food,4
food,5
food,5
food,2
food,5
food,4
food,5
food,5
food,4
food,4
food,4
food,1
food,2
food,5
food,5
food,5
food,5
food,4
food,4
food,5
food,5
food,5
food,4
food,4
food,5
food,5
food,5
food,4
food,4
food,5
food,4
food,5
food,5
food,1
food,5
food,4
food,4
food,4
food,4
food,5
food,5
food,4
food,3
food,3
food,1
food,5
food,4
food,4
food,3
food,5
food,4
food,4
food,5
food,4
food,1
food,4
food,5
food,5
food,3
food,5
food,4
food,4
food,4
food,2
food,1
food,2
food,1
food,5
food,2
food,4
food,5
food,5
food,4
food,5
food,4
food,4
food,5
food,4
food,3
food,5
food,4
food,3
food,4
food,4
food,5
food,5
food,5
food,3
food,4
food,1
food,2
food,4
food,5
food,3
food,4
food,5
food,4
food,5
food,5
food,5
food,1
food,5
food,5
food,4
food,1
food,4
food,3
food,5
food,3
food,4
food,2
food,4
food,4
food,4
food,5
food,2
food,5
food,4
food,5
food,5
food,4
food,3
food,5
food,4
food,3
food,4
food,1
food,5
food,5
food,4
food,5
food,4
food,4
food,4
food,4
food,5
food,4
food,4
food,5
food,4
food,4
food,3
food,4
food,4
food,5
food,4
food,4
food,1
food,3
food,5
food,2
food,3
food,4
food,4
food,3
food,4
food,3
food,4
food,3
food,4
food,1
food,5
food,4
food,4
food,3
food,1
food,5
food,2
food,5
food,1
food,5
food,3
food,5
food,3
food,5
food,1
food,4
food,4
food,5
food,4
food,4
food,3
food,5
food,4
food,5
food,4
food,3
food,5
food,1
food,4
food,5
food,4
food,4
food,5
food,5
food,5
food,5
food,4
food,4
food,3
food,4
food,4
food,4
food,5
food,5
food,4
food,4
food,4
food,3
food,4
food,5
food,4
food,2
food,5
food,4
food,5
food,4
food,5
food,2
food,3
food,4
food,3
food,5
food,3
food,1
food,4
food,5
food,2
food,5
food,4
food,3
food,3
food,5
food,4
food,5
food,1
food,5
food,5
food,2
food,2
food,5
food,4
food,5
food,4
food,4
food,5
food,5
food,5
food,1
food,5
food,5
food,3
food,4
food,5
food,4
food,4
food,3
food,5
food,3
food,1
food,4
food,5
food,5
food,2
food,5
food,1
food,4
food,4
food,4
food,4
food,4
food,4
food,5
food,1
food,5
food,5
food,5
food,4
food,4
food,4
food,3
food,4
food,3
food,4
food,1
food,4
food,3
food,4
food,4
food,5
food,5
food,3
food,3
food,5
food,3
food,3
food,5
food,4
food,4
food,5
food,5
food,4
food,4
food,5
food,4
food,5
food,4
food,4
food,5
food,4
food,3
food,4
food,2
food,4
food,2
food,5
food,4
food,3
food,1
food,4
food,3
food,5
food,4
food,3
food,4
food,5
food,4
food,4
food,4
food,5
food,1
food,2
food,5
food,2
food,5
food,4
food,4
food,1
food,5
food,4
food,3
food,4
food,4
food,4
food,5
food,5
food,4
food,5
food,4
food,5
food,5
food,1
food,2
food,4
food,3
food,4
food,4
food,4
food,5
food,4
food,5
food,5
food,4
food,4
food,5
food,4
food,5
food,3
food,5
food,1
food,5
food,5
food,5
food,5
food,4
food,3
food,1
food,5
food,4
food,5
food,3
food,5
food,4
food,4
food,4
food,5
food,4
food,4
food,5
food,5
food,5
food,5
food,1
food,4
food,3
food,4
food,4
food,4
food,4
food,5
food,5
food,4
food,3
food,4
food,4
food,5
food,3
food,2
food,3
food,5
food,5
food,5
food,1
food,4
food,4
food,3
food,1
food,5
food,5
food,4
food,5
food,5
food,4
food,4
food,4
food,3
food,3
food,3
food,4
food,4
food,4
food,4
food,5
food,5
food,5
food,5
food,4
food,2
food,2
food,4
food,4
food,4
food,4
food,3
food,1
food,5
food,4
food,2
food,5
food,5
food,4
food,4
food,4
food,5
food,5
food,5
food,5
food,2
food,4
food,5
food,4
food,4
food,4
food,3
food,5
food,4
food,3
food,2
food,3
food,3
food,3
food,4
food,3
food,5
food,3
food,3
food,4
food,4
food,4
food,5
food,5
place,5
place,1
place,4
place,5
place,4
place,1
place,5
place,4
place,5
place,4
place,5
place,5
place,4
place,2
place,5
place,5
place,4
place,4
place,5
place,1
place,3
place,5
place,5
place,1
place,5
place,3
place,5
place,3
place,2
place,4
place,5
place,3
place,4
place,5
place,5
place,4
place,4
place,1
place,4
place,1
place,4
place,3
place,4
place,4
place,3
place,1
place,4
place,4
place,3
place,4
place,2
place,2
place,5
place,1
place,1
place,3
place,5
place,1
place,5
place,2
place,4
place,5
place,5
place,3
place,5
place,1
place,4
place,4
place,5
place,5
place,4
place,5
place,4
place,5
place,1
place,4
place,4
place,5
place,3
place,4
place,5
place,1
place,4
place,3
place,5
place,4
place,3
place,5
place,1
place,5
place,4
place,5
place,4
place,3
place,4
place,5
place,4
place,4
place,5
place,5
place,3
place,1
place,3
place,2
place,4
place,5
place,4
place,5
place,3
place,1
place,4
place,3
place,4
place,2
place,1
place,5
place,4
place,5
place,4
place,5
place,4
place,4
place,4
place,4
place,5
place,4
place,4
place,4
place,5
place,5
place,4
place,5
place,3
place,5
place,5
place,5
place,4
place,1
place,4
place,4
place,4
place,1
place,4
place,2
place,2
place,3
place,5
place,1
place,4
place,3
place,5
place,4
place,4
place,5
place,1
place,5
place,4
place,2
place,5
place,5
place,5
place,2
place,3
place,1
place,4
place,1
place,3
place,3
place,1
place,2
place,4
place,5
place,5
place,5
place,5
place,3
place,1
place,4
place,5
place,4
place,5
place,5
place,4
place,4
place,5
place,4
place,1
place,1
place,3
place,5
place,4
place,5
place,5
place,5
place,3
place,4
place,5
place,5
place,4
place,5
place,4
place,4
place,2
place,5
place,4
place,4
place,5
place,4
place,4
place,4
place,5
place,1
place,4
place,4
place,2
place,5
place,4
place,1
place,3
place,5
place,3
place,5
place,5
place,4
place,4
place,3
place,1
place,1
place,4
place,3
place,5
place,1
place,4
place,4
place,3
place,4
place,4
place,5
place,5
place,4
place,5
place,3
place,5
place,3
place,5
place,1
place,4
place,3
place,1
place,1
place,3
place,5
place,5
place,4
place,2
place,3
place,3
place,1
place,5
place,2
place,5
place,3
place,3
place,5
place,5
place,5
place,3
place,4
place,4
place,5
place,5
place,5
place,3
place,4
place,5
place,3
place,5
place,3
place,4
place,4
place,1
place,3
place,5
place,4
place,5
place,2
place,4
place,1
place,3
place,3
place,5
place,5
place,1
place,3
place,4
place,4
place,3
place,5
place,2
place,2
place,1
place,4
place,4
place,5
place,3
place,4
place,5
place,3
place,4
place,5
place,3
place,3
place,4
place,5
place,4
place,5
place,4
place,5
place,4
place,4
place,5
place,2
place,1
place,4
place,3
place,3
place,4
place,4
place,3
place,5
place,4
place,5
place,5
place,5
place,4
place,2
place,4
place,5
place,5
place,5
place,4
place,4
place,5
place,4
place,3
place,1
place,5
place,2
place,4
place,5
place,5
place,5
place,4
place,4
place,5
place,4
place,5
place,4
place,5
place,4
place,5
place,1
place,5
place,5
place,5
place,4
place,4
place,2
place,4
place,4
place,4
place,4
place,4
place,4
place,5
place,5
place,5
place,4
place,5
place,4
place,5
place,4
place,5
place,3
place,4
place,5
place,1
place,4
place,3
place,3
place,4
place,5
place,5
place,1
place,5
place,1
place,4
place,2
place,3
place,4
place,2
place,5
place,3
place,5
place,5
place,3
place,4
place,4
place,5
place,1
place,3
place,3
place,4
place,4
place,3
place,1
place,5
place,3
place,4
place,4
place,5
place,2
place,4
place,4
place,5
place,4
place,4
place,1
place,4
place,4
place,5
place,1
place,4
place,2
place,5
place,4
place,3
place,3
place,1
place,1
place,5
place,5
place,5
place,5
place,1
place,5
place,3
place,4
place,2
place,2
place,4
place,4
place,3
place,5
place,5
place,2
place,4
place,4
place,1
place,4
place,3
place,5
place,1
place,5
place,3
place,5
place,4
place,4
place,4
place,3
place,3
place,1
place,3
place,5
place,4
place,3
place,5
place,1
place,4
place,5
place,4
place,4
place,4
place,5
place,2
place,4
place,1
place,4
place,1
place,4
place,4
place,3
place,4
place,5
place,4
place,1
place,5
place,4
place,4
place,1
place,5
place,5
place,5
place,3
place,5
place,5
place,5
place,4
place,3
place,4
place,4
place,4
place,5
place,1
place,3
place,4
place,1
place,4
place,4
place,1
place,5
place,4
place,3
place,5
place,4
place,2
place,4
place,1
place,1
place,4
place,4
place,5
place,2
place,3
place,3
place,5
price,4
price,5
price,5
price,4
price,1
price,4
price,1
price,4
price,4
price,3
price,4
price,5
price,3
price,3
price,4
price,5
price,5
price,5
price,4
price,4
price,3
price,3
price,3
price,5
price,5
price,4
price,4
price,1
price,3
price,4
price,3
price,3
price,4
price,1
price,5
price,2
price,5
price,5
price,1
price,1
price,4
price,2
price,5
price,4
price,2
price,5
price,4
price,5
price,5
price,4
price,5
price,1
price,5
price,5
price,5
price,3
price,4
price,3
price,3
price,3
price,4
price,3
price,4
price,5
price,4
price,3
price,4
price,2
price,4
price,4
price,3
price,4
price,3
price,5
price,2
price,4
price,5
price,4
price,2
price,4
price,3
price,4
price,5
price,4
price,3
price,4
price,4
price,3
price,4
price,4
price,2
price,4
price,4
price,4
price,4
price,5
price,4
price,5
price,4
price,5
price,4
price,4
price,4
price,4
price,5
price,4
price,2
price,5
price,4
price,5
price,4
price,5
price,5
price,5
price,2
price,4
price,4
price,5
price,3
price,4
price,4
price,5
price,5
price,4
price,4
price,5
price,1
price,2
price,5
price,3
price,3
price,4
price,4
price,5
price,5
price,5
price,4
price,4
price,4
price,5
price,3
price,3
price,3
price,5
price,4
price,4
price,1
price,4
price,5
price,4
price,4
price,4
price,4
price,5
price,4
price,4
price,5
price,4
price,4
price,3
price,5
price,4
price,5
price,5
price,5
price,4
price,4
price,4
price,2
price,4
price,5
price,5
price,3
price,1
price,3
price,5
price,5
price,4
price,4
price,5
price,3
price,5
price,4
price,4
price,4
price,4
price,3
price,4
price,2
price,2
price,2
price,4
price,4
price,4
price,5
price,4
price,5
price,5
price,4
price,5
price,4
price,4
price,4
price,5
price,4
price,3
price,1
price,5
price,5
price,4
price,3
price,5
price,3
price,5
price,3
price,4
price,5
price,3
price,4
price,5
price,4
price,4
price,4
price,3
price,5
price,3
price,4
price,4
price,4
price,3
price,4
price,4
price,5
price,4
price,4
price,5
price,4
price,4
price,5
price,4
price,5
price,5
price,5
price,2
price,5
price,4
price,5
price,4
price,4
price,4
price,4
price,4
price,5
price,1
price,4
price,4
price,4
price,4
price,4
price,2
price,4
price,2
price,5
price,5
price,2
price,4
price,4
price,4
price,5
price,5
price,5
price,4
price,5
price,4
price,5
price,5
price,5
price,4
price,5
price,4
price,4
price,3
price,2
price,5
price,4
price,4
price,5
price,5
price,4
price,4
price,3
price,5
price,4
price,5
price,5
price,5
price,4
price,4
price,5
price,4
price,5
price,4
price,4
price,2
price,4
price,4
price,3
price,4
price,4
price,1
price,5
price,3
price,4
price,4
price,5
price,4
price,5
price,5
price,4
price,4
price,4
price,4
price,4
price,5
price,4
price,5
price,5
price,4
price,1
price,4
price,5
price,4
price,5
price,5
price,5
price,1
price,5
price,5
price,3
price,3
price,5
price,5
price,3
price,3
price,3
price,4
price,3
price,5
price,3
price,5
price,3
price,2
price,4
price,3
price,5
price,2
price,4
price,3
price,4
price,5
price,5
price,2
price,4
price,4
price,5
price,5
price,5
price,4
price,5
price,5
price,5
price,1
price,3
price,4
price,4
price,4
price,3
price,4
price,5
price,5
price,5
price,4
price,4
price,4
price,5
price,4
price,4
price,3
price,5
price,4
price,4
price,5
price,5
price,5
price,5
price,2
price,4
price,5
price,3
price,5
price,4
price,3
price,4
price,3
